Страна,Год,Число студентов из РФ
Aruba,2003,0
Aruba,2006,0
Aruba,2009,0
Aruba,2010,0
Aruba,2011,0
Aruba,2012,0
Aruba,2013,2
Aruba,2014,2
Aruba,2015,1
Aruba,2016,0
Andorra,2002,0
Andorra,2013,0
Andorra,2015,0
Andorra,2016,2
Andorra,2017,1
Andorra,2018,2
Andorra,2019,2
Andorra,2020,1
Andorra,2021,0
Andorra,2023,3
Andorra,2024,4
United Arab Emirates,2011,331
United Arab Emirates,2012,286
Argentina,2000,0
Argentina,2016,110
Argentina,2017,131
Argentina,2018,148
Argentina,2019,148
Argentina,2020,135
Argentina,2021,145
Argentina,2022,123
Argentina,2023,185
Armenia,2003,290
Armenia,2004,662
Armenia,2005,477
Armenia,2006,680
Armenia,2007,828
Armenia,2008,967
Armenia,2009,1331
Armenia,2010,1175
Armenia,2011,1140
Armenia,2012,1062
Armenia,2013,903
Armenia,2014,1277
Armenia,2015,1140
Armenia,2016,1268
Armenia,2017,1357
Armenia,2018,1255
Armenia,2019,1421
Armenia,2020,1283
Armenia,2021,1782
Armenia,2022,2082
Armenia,2023,1923
Armenia,2024,2761
Australia,2000,207
Australia,2002,599
Australia,2003,661
Australia,2004,476
Australia,2005,447
Australia,2006,442
Australia,2007,530
Australia,2008,618
Australia,2009,764
Australia,2010,846
Australia,2011,889
Australia,2012,897
Australia,2013,968
Australia,2014,1028
Australia,2015,880
Australia,2016,859
Australia,2017,737
Australia,2018,796
Australia,2019,708
Australia,2020,590
Australia,2021,473
Australia,2022,477
Australia,2023,589
Australia,2024,683
Austria,2000,300
Austria,2001,341
Austria,2002,263
Austria,2003,278
Austria,2004,338
Austria,2006,418
Austria,2007,522
Austria,2008,588
Austria,2009,753
Austria,2010,858
Austria,2011,975
Austria,2012,754
Austria,2013,1004
Austria,2014,939
Austria,2015,1128
Austria,2016,1257
Austria,2017,1390
Austria,2018,1447
Austria,2019,1479
Austria,2020,1539
Austria,2021,1674
Austria,2022,1793
Austria,2023,1950
Austria,2024,2345
Azerbaijan,2006,171
Azerbaijan,2007,150
Azerbaijan,2008,158
Azerbaijan,2009,224
Azerbaijan,2010,263
Azerbaijan,2011,221
Azerbaijan,2012,177
Azerbaijan,2013,232
Azerbaijan,2014,213
Azerbaijan,2015,270
Azerbaijan,2016,306
Azerbaijan,2017,441
Azerbaijan,2018,593
Azerbaijan,2019,522
Azerbaijan,2020,481
Azerbaijan,2021,428
Azerbaijan,2022,477
Azerbaijan,2023,451
Azerbaijan,2024,618
Belgium,2000,143
Belgium,2001,200
Belgium,2002,271
Belgium,2003,285
Belgium,2004,0
Belgium,2005,89
Belgium,2006,73
Belgium,2007,132
Belgium,2008,14
Belgium,2009,152
Belgium,2010,188
Belgium,2011,244
Belgium,2012,244
Belgium,2013,273
Belgium,2014,264
Belgium,2015,213
Belgium,2016,287
Belgium,2017,302
Belgium,2018,180
Belgium,2019,43
Belgium,2020,302
Belgium,2021,316
Belgium,2022,312
Belgium,2023,284
Benin,2014,0
Benin,2015,0
Benin,2016,0
Benin,2017,0
Benin,2018,0
Benin,2019,1
Benin,2020,0
Benin,2021,0
Benin,2022,0
Bulgaria,2000,80
Bulgaria,2001,67
Bulgaria,2003,127
Bulgaria,2004,112
Bulgaria,2005,88
Bulgaria,2006,93
Bulgaria,2007,126
Bulgaria,2008,142
Bulgaria,2009,163
Bulgaria,2010,200
Bulgaria,2011,219
Bulgaria,2012,235
Bulgaria,2013,255
Bulgaria,2014,269
Bulgaria,2015,288
Bulgaria,2016,301
Bulgaria,2017,283
Bulgaria,2018,309
Bulgaria,2019,315
Bulgaria,2020,316
Bulgaria,2021,312
Bulgaria,2022,335
Bulgaria,2023,325
Bulgaria,2024,264
Bahrain,2003,1
