Страна,Год,Число студентов из РФ,Регион
Aruba,2003,0,Latin America
Aruba,2006,0,Latin America
Aruba,2009,0,Latin America
Aruba,2010,0,Latin America
Aruba,2011,0,Latin America
Aruba,2012,0,Latin America
Aruba,2013,2,Latin America
Aruba,2014,2,Latin America
Aruba,2015,1,Latin America
Aruba,2016,0,Latin America
Andorra,2002,0,Europe
Andorra,2013,0,Europe
Andorra,2015,0,Europe
Andorra,2016,2,Europe
Andorra,2017,1,Europe
Andorra,2018,2,Europe
Andorra,2019,2,Europe
Andorra,2020,1,Europe
Andorra,2021,0,Europe
Andorra,2023,3,Europe
Andorra,2024,4,Europe
United Arab Emirates,2011,331,Asia
United Arab Emirates,2012,286,Asia
Argentina,2000,0,Latin America
Argentina,2016,110,Latin America
Argentina,2017,131,Latin America
Argentina,2018,148,Latin America
Argentina,2019,148,Latin America
Argentina,2020,135,Latin America
Argentina,2021,145,Latin America
Argentina,2022,123,Latin America
Argentina,2023,185,Latin America
Armenia,2003,290,Asia
Armenia,2004,662,Asia
Armenia,2005,477,Asia
Armenia,2006,680,Asia
Armenia,2007,828,Asia
Armenia,2008,967,Asia
Armenia,2009,1331,Asia
Armenia,2010,1175,Asia
Armenia,2011,1140,Asia
Armenia,2012,1062,Asia
Armenia,2013,903,Asia
Armenia,2014,1277,Asia
Armenia,2015,1140,Asia
Armenia,2016,1268,Asia
Armenia,2017,1357,Asia
Armenia,2018,1255,Asia
Armenia,2019,1421,Asia
Armenia,2020,1283,Asia
Armenia,2021,1782,Asia
Armenia,2022,2082,Asia
Armenia,2023,1923,Asia
Armenia,2024,2761,Asia
Australia,2000,207,Oceania
Australia,2002,599,Oceania
Australia,2003,661,Oceania
Australia,2004,476,Oceania
Australia,2005,447,Oceania
Australia,2006,442,Oceania
Australia,2007,530,Oceania
Australia,2008,618,Oceania
Australia,2009,764,Oceania
Australia,2010,846,Oceania
Australia,2011,889,Oceania
Australia,2012,897,Oceania
Australia,2013,968,Oceania
Australia,2014,1028,Oceania
Australia,2015,880,Oceania
Australia,2016,859,Oceania
Australia,2017,737,Oceania
Australia,2018,796,Oceania
Australia,2019,708,Oceania
Australia,2020,590,Oceania
Australia,2021,473,Oceania
Australia,2022,477,Oceania
Australia,2023,589,Oceania
Australia,2024,683,Oceania
Austria,2000,300,Europe
Austria,2001,341,Europe
Austria,2002,263,Europe
Austria,2003,278,Europe
Austria,2004,338,Europe
Austria,2006,418,Europe
Austria,2007,522,Europe
Austria,2008,588,Europe
Austria,2009,753,Europe
Austria,2010,858,Europe
Austria,2011,975,Europe
Austria,2012,754,Europe
Austria,2013,1004,Europe
Austria,2014,939,Europe
Austria,2015,1128,Europe
Austria,2016,1257,Europe
Austria,2017,1390,Europe
Austria,2018,1447,Europe
Austria,2019,1479,Europe
Austria,2020,1539,Europe
Austria,2021,1674,Europe
Austria,2022,1793,Europe
Austria,2023,1950,Europe
Austria,2024,2345,Europe
Azerbaijan,2006,171,Asia
Azerbaijan,2007,150,Asia
Azerbaijan,2008,158,Asia
Azerbaijan,2009,224,Asia
Azerbaijan,2010,263,Asia
Azerbaijan,2011,221,Asia
Azerbaijan,2012,177,Asia
Azerbaijan,2013,232,Asia
Azerbaijan,2014,213,Asia
Azerbaijan,2015,270,Asia
Azerbaijan,2016,306,Asia
Azerbaijan,2017,441,Asia
Azerbaijan,2018,593,Asia
Azerbaijan,2019,522,Asia
Azerbaijan,2020,481,Asia
Azerbaijan,2021,428,Asia
Azerbaijan,2022,477,Asia
Azerbaijan,2023,451,Asia
Azerbaijan,2024,618,Asia
Belgium,2000,143,Europe
Belgium,2001,200,Europe
Belgium,2002,271,Europe
Belgium,2003,285,Europe
Belgium,2004,0,Europe
Belgium,2005,89,Europe
Belgium,2006,73,Europe
Belgium,2007,132,Europe
Belgium,2008,14,Europe
Belgium,2009,152,Europe
Belgium,2010,188,Europe
Belgium,2011,244,Europe
Belgium,2012,244,Europe
Belgium,2013,273,Europe
Belgium,2014,264,Europe
Belgium,2015,213,Europe
Belgium,2016,287,Europe
Belgium,2017,302,Europe
Belgium,2018,180,Europe
Belgium,2019,43,Europe
Belgium,2020,302,Europe
Belgium,2021,316,Europe
Belgium,2022,312,Europe
Belgium,2023,284,Europe
Benin,2014,0,Africa
Benin,2015,0,Africa
Benin,2016,0,Africa
Benin,2017,0,Africa
Benin,2018,0,Africa
Benin,2019,1,Africa
Benin,2020,0,Africa
Benin,2021,0,Africa
Benin,2022,0,Africa
Bulgaria,2000,80,Europe
Bulgaria,2001,67,Europe
Bulgaria,2003,127,Europe
Bulgaria,2004,112,Europe
Bulgaria,2005,88,Europe
Bulgaria,2006,93,Europe
Bulgaria,2007,126,Europe
Bulgaria,2008,142,Europe
Bulgaria,2009,163,Europe
Bulgaria,2010,200,Europe
Bulgaria,2011,219,Europe
Bulgaria,2012,235,Europe
Bulgaria,2013,255,Europe
Bulgaria,2014,269,Europe
Bulgaria,2015,288,Europe
Bulgaria,2016,301,Europe
Bulgaria,2017,283,Europe
Bulgaria,2018,309,Europe
Bulgaria,2019,315,Europe
Bulgaria,2020,316,Europe
Bulgaria,2021,312,Europe
Bulgaria,2022,335,Europe
Bulgaria,2023,325,Europe
Bulgaria,2024,264,Europe
Bahrain,2003,1,Asia
Bahrain,2005,0,Asia
Bahrain,2006,0,Asia
Bahrain,2014,1,Asia
Bahrain,2015,2,Asia
Bahrain,2016,3,Asia
Bahrain,2017,5,Asia
Bahrain,2018,3,Asia
Bahrain,2019,3,Asia
Bahrain,2020,5,Asia
Bahrain,2021,4,Asia
Bahrain,2022,3,Asia
Bahrain,2023,3,Asia
Bahrain,2024,4,Asia
Bosnia and Herzegovina,2013,4,Europe
Bosnia and Herzegovina,2014,4,Europe
Bosnia and Herzegovina,2015,6,Europe
Bosnia and Herzegovina,2016,6,Europe
Bosnia and Herzegovina,2017,4,Europe
Bosnia and Herzegovina,2018,9,Europe
Bosnia and Herzegovina,2019,6,Europe
Bosnia and Herzegovina,2020,5,Europe
Bosnia and Herzegovina,2021,7,Europe
Bosnia and Herzegovina,2022,11,Europe
Bosnia and Herzegovina,2023,21,Europe
Belarus,2002,0,Europe
Belarus,2003,0,Europe
Belarus,2004,0,Europe
Belarus,2005,0,Europe
Belarus,2006,0,Europe
Belarus,2007,0,Europe
Belarus,2008,2622,Europe
Belarus,2009,2546,Europe
Belarus,2010,2543,Europe
Belarus,2011,2596,Europe
Belarus,2012,2567,Europe
Belarus,2013,2061,Europe
Belarus,2014,2128,Europe
Belarus,2015,1953,Europe
Belarus,2016,1578,Europe
Belarus,2017,1647,Europe
Belarus,2018,1952,Europe
Belarus,2019,1796,Europe
Belarus,2020,1912,Europe
Belarus,2021,1902,Europe
Belarus,2022,1756,Europe
Belarus,2023,1804,Europe
Belarus,2024,1901,Europe
Brazil,2002,4,Latin America
Brazil,2003,2,Latin America
Brazil,2004,4,Latin America
Brazil,2009,40,Latin America
Brazil,2010,33,Latin America
Brazil,2011,36,Latin America
Brazil,2012,36,Latin America
Brazil,2014,47,Latin America
Brazil,2015,38,Latin America
Brazil,2016,34,Latin America
Brazil,2017,36,Latin America
Brazil,2018,45,Latin America
Brazil,2019,44,Latin America
Brazil,2020,47,Latin America
Brazil,2021,52,Latin America
Brazil,2022,56,Latin America
Brazil,2023,58,Latin America
Brazil,2024,61,Latin America
Barbados,2001,0,Latin America
Barbados,2007,0,Latin America
Barbados,2009,1,Latin America
Barbados,2010,1,Latin America
Barbados,2011,1,Latin America
