"Страна","Первый_год","Последний_год","Число_наблюдений","Ожидаемое_число_наблюдений","Число_пропусков","Доля_пропусков","Полнота_данных"
"Korea, Democratic People's Republic of",2009,2009,1,25,24,"96%",Данные за 1 год
Nicaragua,2023,2023,1,25,24,"96%",Данные за 1 год
Guyana,2010,2010,1,25,24,"96%",Данные за 1 год
Kuwait,2008,2009,2,25,23,"92%",Непрерывный ряд (2-4 года)
Senegal,2023,2024,2,25,23,"92%",Непрерывный ряд (2-4 года)
Guatemala,2019,2023,2,25,23,"92%",Пропуски внутри периода
United Arab Emirates,2011,2012,2,25,23,"92%",Непрерывный ряд (2-4 года)
Congo,2003,2013,3,25,22,"88%",Пропуски внутри периода
Turkmenistan,2014,2021,4,25,21,"84%",Пропуски внутри периода
Costa Rica,2004,2018,4,25,21,"84%",Пропуски внутри периода
Sint Maarten (Dutch part),2012,2017,4,25,21,"84%",Пропуски внутри периода
Panama,2019,2022,4,25,21,"84%",Непрерывный ряд (2-4 года)
Grenada,2009,2018,5,25,20,"80%",Пропуски внутри периода
Barbados,2001,2011,5,25,20,"80%",Пропуски внутри периода
Israel,2010,2014,5,25,20,"80%",Непрерывный ряд (5+ лет)
Egypt,2013,2024,5,25,20,"80%",Пропуски внутри периода
"Tanzania, United Republic of",2001,2024,6,25,19,"76%",Пропуски внутри периода
Monaco,2017,2024,6,25,19,"76%",Пропуски внутри периода
Mozambique,2011,2018,6,25,19,"76%",Пропуски внутри периода
Indonesia,2005,2018,8,25,17,"68%",Пропуски внутри периода
Philippines,2001,2024,8,25,17,"68%",Пропуски внутри периода
Colombia,2014,2022,9,25,16,"64%",Непрерывный ряд (5+ лет)
Ecuador,2012,2023,9,25,16,"64%",Пропуски внутри периода
Argentina,2000,2023,9,25,16,"64%",Пропуски внутри периода
Trinidad and Tobago,2000,2023,9,25,16,"64%",Пропуски внутри периода
Benin,2014,2022,9,25,16,"64%",Непрерывный ряд (5+ лет)
Dominican Republic,2012,2024,10,25,15,"60%",Пропуски внутри периода
United States,2005,2023,10,25,15,"60%",Пропуски внутри периода
Aruba,2003,2016,10,25,15,"60%",Пропуски внутри периода
Honduras,2003,2024,10,25,15,"60%",Пропуски внутри периода
Bosnia and Herzegovina,2013,2023,11,25,14,"56%",Непрерывный ряд (5+ лет)
Andorra,2002,2024,11,25,14,"56%",Пропуски внутри периода
Sri Lanka,2013,2023,11,25,14,"56%",Непрерывный ряд (5+ лет)
