"Страна","Первый_год","Последний_год","Число_лет","Всего_студентов","Среднее_число","Мин_число","Макс_число","Размах","Ст_отклонение","Коэффициент_вариации"
Germany,2013,2024,12,123770,10314,9480,11369,1889,730.6,0.07
Czechia,2000,2023,24,79907,3329,110,8255,8145,2742.1,0.82
France,2000,2024,25,76612,3064,1453,4300,2847,716.6,0.23
United Kingdom,2000,2023,24,69804,2909,1058,4092,3034,926.6,0.32
United States,2005,2023,10,49296,4930,4466,5299,833,285.2,0.06
Ukraine,2005,2024,19,47199,2484,623,4734,4111,1566.7,0.63
Finland,2000,2024,24,42314,1763,656,2799,2143,648.4,0.37
Kazakhstan,2000,2024,21,39012,1858,728,3600,2872,811.3,0.44
Belarus,2002,2024,23,35264,1533,0,2622,2622,980.2,0.64
Italy,2000,2023,24,33592,1400,118,3047,2929,845.3,0.60
Armenia,2003,2024,22,27064,1230,290,2761,2471,551.4,0.45
Kyrgyzstan,2001,2024,24,26205,1092,245,2623,2378,682.3,0.62
Austria,2000,2024,24,24333,1014,263,2345,2082,591.8,0.58
Türkiye,2000,2023,24,24055,1002,60,3083,3023,619.2,0.62
Canada,2000,2023,24,21875,911,273,1704,1431,548.1,0.60
Switzerland,2000,2024,25,19255,770,327,1048,721,232.2,0.30
Poland,2000,2024,25,17799,712,262,1570,1308,372.4,0.52
Australia,2000,2024,24,16164,674,207,1028,821,200.9,0.30
Norway,2000,2024,25,14169,567,227,1061,834,261.6,0.46
Spain,2000,2024,23,10616,462,61,798,737,273.4,0.59
Latvia,2000,2024,24,9953,415,189,571,382,97.0,0.23
"Korea, Republic of",2000,2024,25,9831,393,65,1351,1286,295.1,0.75
Netherlands,2000,2019,20,8974,449,170,947,777,291.6,0.65
Sweden,2000,2024,25,8676,347,37,643,606,169.9,0.49
Hungary,2001,2024,24,7007,292,80,726,646,179.5,0.61
Saudi Arabia,2003,2024,21,6995,333,0,604,604,215.8,0.65
Mongolia,2000,2024,22,6512,296,47,623,576,156.4,0.53
Azerbaijan,2006,2024,19,6396,337,150,618,468,155.4,0.46
Greece,2002,2023,17,6284,370,76,620,544,174.3,0.47
New Zealand,2000,2024,24,5781,241,20,393,373,110.3,0.46
Bulgaria,2000,2024,24,5224,218,67,335,268,92.1,0.42
Estonia,2000,2024,25,5193,208,0,541,541,157.5,0.76
Slovakia,2000,2024,25,5072,203,14,1253,1239,327.4,1.61
Cyprus,2000,2024,25,5030,201,134,433,299,66.1,0.33
Japan,2013,2023,11,4943,449,332,591,259,83.5,0.19
Belgium,2000,2023,24,4811,200,0,316,316,99.0,0.49
Tajikistan,2000,2017,18,4102,228,88,1451,1363,328.1,1.44
Uzbekistan,2006,2024,18,3790,211,16,750,734,228.2,1.08
Georgia,2000,2023,23,3561,155,0,460,460,147.6,0.95
Lithuania,2000,2024,25,3343,134,0,393,393,116.7,0.87
Denmark,2000,2024,25,3245,130,56,317,261,57.4,0.44
"Moldova, Republic of",2001,2024,24,2279,95,0,181,181,46.3,0.49
Portugal,2000,2023,23,1908,83,10,211,201,44.7,0.54
Ireland,2000,2022,23,1879,82,31,145,114,29.0,0.36
