"Страна","Год","Число_студентов","Годовое_изменение"
Germany,2013,9480,
Germany,2014,9668,188
Germany,2015,9953,285
Germany,2016,9711,-242
Germany,2017,9620,-91
Germany,2018,10121,501
Germany,2019,9646,-475
Germany,2020,11055,1409
Germany,2021,11149,94
Germany,2022,11369,220
Germany,2023,11024,-345
Germany,2024,10974,-50
Czechia,2000,110,
Czechia,2001,160,50
Czechia,2002,203,43
Czechia,2003,305,102
Czechia,2004,407,102
Czechia,2005,609,202
Czechia,2006,782,173
Czechia,2007,1088,306
Czechia,2008,1405,317
Czechia,2009,1768,363
Czechia,2010,2297,529
Czechia,2011,2588,291
Czechia,2012,2912,324
Czechia,2013,3455,543
Czechia,2014,4379,924
Czechia,2015,5305,926
Czechia,2016,5771,466
Czechia,2017,5979,208
Czechia,2018,5859,-120
Czechia,2019,4372,-1487
Czechia,2020,6407,2035
Czechia,2021,7710,1303
Czechia,2022,8255,545
Czechia,2023,7781,-474
France,2000,1453,
France,2001,1658,205
France,2002,1924,266
France,2003,2537,613
France,2004,2597,60
France,2005,2672,75
France,2006,3083,411
France,2007,3219,136
France,2008,3347,128
France,2009,3593,246
France,2010,3822,229
France,2011,4193,371
France,2012,4300,107
France,2013,3643,-657
France,2014,3599,-44
France,2015,3648,49
France,2016,3555,-93
France,2017,3691,136
France,2018,2945,-746
France,2019,2785,-160
France,2020,2751,-34
France,2021,2752,1
France,2022,2685,-67
France,2023,3001,316
France,2024,3159,158
United Kingdom,2000,1058,
United Kingdom,2001,1370,312
United Kingdom,2002,1461,91
United Kingdom,2003,1601,140
United Kingdom,2004,1878,277
United Kingdom,2005,2027,149
United Kingdom,2006,2187,160
United Kingdom,2007,2580,393
United Kingdom,2008,2646,66
United Kingdom,2009,2953,307
United Kingdom,2010,3159,206
United Kingdom,2011,3303,144
United Kingdom,2012,3574,271
United Kingdom,2013,3604,30
United Kingdom,2014,3933,329
United Kingdom,2015,4092,159
United Kingdom,2016,3974,-118
United Kingdom,2017,3920,-54
United Kingdom,2018,3752,-168
United Kingdom,2019,3640,-112
United Kingdom,2020,3376,-264
United Kingdom,2021,3357,-19
United Kingdom,2022,3331,-26
United Kingdom,2023,3028,-303
Finland,2000,656,
Finland,2001,764,108
Finland,2002,911,147
Finland,2003,1079,168
Finland,2004,1140,61
Finland,2005,1127,-13
Finland,2007,1182,55
Finland,2008,1291,109
Finland,2009,1378,87
Finland,2010,1595,217
Finland,2011,1776,181
Finland,2012,2107,331
Finland,2013,2206,99
Finland,2014,2555,349
Finland,2015,2799,244
Finland,2016,2799,0
Finland,2017,2733,-66
Finland,2018,2344,-389
Finland,2019,2017,-327
Finland,2020,1728,-289
Finland,2021,1996,268
Finland,2022,2039,43
Finland,2023,2026,-13
Finland,2024,2066,40
Kazakhstan,2000,728,
Kazakhstan,2001,866,138
Kazakhstan,2003,1659,793
Kazakhstan,2004,2177,518
Kazakhstan,2005,2516,339
Kazakhstan,2006,2880,364
Kazakhstan,2007,2857,-23
Kazakhstan,2008,1914,-943
Kazakhstan,2009,2074,160
Kazakhstan,2010,3600,1526
Kazakhstan,2011,3373,-227
Kazakhstan,2012,1993,-1380
Kazakhstan,2013,1315,-678
Kazakhstan,2014,1202,-113
Kazakhstan,2015,1270,68
Kazakhstan,2016,1097,-173
Kazakhstan,2017,1136,39
Kazakhstan,2018,1234,98
Kazakhstan,2019,1511,277
Kazakhstan,2020,1487,-24
Kazakhstan,2024,2123,636
Armenia,2003,290,
Armenia,2004,662,372
Armenia,2005,477,-185
Armenia,2006,680,203
Armenia,2007,828,148
Armenia,2008,967,139
Armenia,2009,1331,364
Armenia,2010,1175,-156
Armenia,2011,1140,-35
Armenia,2012,1062,-78
Armenia,2013,903,-159
Armenia,2014,1277,374
Armenia,2015,1140,-137
Armenia,2016,1268,128
Armenia,2017,1357,89
Armenia,2018,1255,-102
Armenia,2019,1421,166
Armenia,2020,1283,-138
Armenia,2021,1782,499
Armenia,2022,2082,300
Armenia,2023,1923,-159
Armenia,2024,2761,838
Kyrgyzstan,2001,814,
Kyrgyzstan,2002,245,-569
Kyrgyzstan,2003,371,126
Kyrgyzstan,2004,277,-94
Kyrgyzstan,2005,362,85
Kyrgyzstan,2006,356,-6
Kyrgyzstan,2007,399,43
Kyrgyzstan,2008,649,250
Kyrgyzstan,2009,748,99
Kyrgyzstan,2010,842,94
Kyrgyzstan,2011,818,-24
Kyrgyzstan,2012,847,29
Kyrgyzstan,2013,927,80
Kyrgyzstan,2014,1302,375
Kyrgyzstan,2015,1377,75
Kyrgyzstan,2016,1186,-191
Kyrgyzstan,2017,910,-276
Kyrgyzstan,2018,1535,625
Kyrgyzstan,2019,1622,87
Kyrgyzstan,2020,1844,222
Kyrgyzstan,2021,2005,161
Kyrgyzstan,2022,1672,-333
Kyrgyzstan,2023,2474,802
Kyrgyzstan,2024,2623,149
Türkiye,2000,1004,
Türkiye,2001,924,-80
Türkiye,2002,846,-78
Türkiye,2003,720,-126
Türkiye,2004,662,-58
Türkiye,2005,625,-37
Türkiye,2006,604,-21
Türkiye,2007,556,-48
Türkiye,2008,524,-32
Türkiye,2009,491,-33
Türkiye,2010,495,4
Türkiye,2011,516,21
Türkiye,2012,567,51
Türkiye,2013,60,-507
Türkiye,2014,931,871
Türkiye,2015,1158,227
Türkiye,2016,1275,117
Türkiye,2017,1376,101
Türkiye,2018,1431,55
Türkiye,2019,1409,-22
Türkiye,2020,1439,30
Türkiye,2021,1648,209
Türkiye,2022,1711,63
Türkiye,2023,3083,1372
"Korea, Republic of",2000,77,
"Korea, Republic of",2001,65,-12
"Korea, Republic of",2002,100,35
"Korea, Republic of",2003,153,53
"Korea, Republic of",2004,166,13
"Korea, Republic of",2005,185,19
"Korea, Republic of",2006,254,69
"Korea, Republic of",2007,243,-11
"Korea, Republic of",2008,248,5
"Korea, Republic of",2009,252,4
"Korea, Republic of",2010,346,94
"Korea, Republic of",2011,340,-6
"Korea, Republic of",2012,330,-10
"Korea, Republic of",2013,314,-16
"Korea, Republic of",2014,320,6
"Korea, Republic of",2015,349,29
"Korea, Republic of",2016,420,71
"Korea, Republic of",2017,443,23
"Korea, Republic of",2018,473,30
"Korea, Republic of",2019,481,8
"Korea, Republic of",2020,505,24
"Korea, Republic of",2021,614,109
"Korea, Republic of",2022,787,173
"Korea, Republic of",2023,1015,228
"Korea, Republic of",2024,1351,336
Andorra,2002,0,
Andorra,2013,0,0
Andorra,2015,0,0
Andorra,2016,2,2
Andorra,2017,1,-1
Andorra,2018,2,1
Andorra,2019,2,0
Andorra,2020,1,-1
Andorra,2021,0,-1
Andorra,2023,3,3
Andorra,2024,4,1
Argentina,2000,0,
Argentina,2016,110,110
Argentina,2017,131,21
Argentina,2018,148,17
Argentina,2019,148,0
Argentina,2020,135,-13
Argentina,2021,145,10
Argentina,2022,123,-22
