"Страна","Год","Число_студентов","Темп_роста"
Germany,2013,9480,—
Germany,2014,9668,"2.0%"
Germany,2015,9953,"2.9%"
Germany,2016,9711,-2.4%
Germany,2017,9620,-0.9%
Germany,2018,10121,"5.2%"
Germany,2019,9646,-4.7%
Germany,2020,11055,"14.6%"
Germany,2021,11149,"0.9%"
Germany,2022,11369,"2.0%"
Germany,2023,11024,-3.0%
Germany,2024,10974,-0.5%
Czechia,2000,110,—
Czechia,2001,160,"45.5%"
Czechia,2002,203,"26.9%"
Czechia,2003,305,"50.2%"
Czechia,2004,407,"33.4%"
Czechia,2005,609,"49.6%"
Czechia,2006,782,"28.4%"
Czechia,2007,1088,"39.1%"
Czechia,2008,1405,"29.1%"
Czechia,2009,1768,"25.8%"
Czechia,2010,2297,"29.9%"
Czechia,2011,2588,"12.7%"
Czechia,2012,2912,"12.5%"
Czechia,2013,3455,"18.6%"
Czechia,2014,4379,"26.7%"
Czechia,2015,5305,"21.1%"
Czechia,2016,5771,"8.8%"
Czechia,2017,5979,"3.6%"
Czechia,2018,5859,-2.0%
Czechia,2019,4372,-25.4%
Czechia,2020,6407,"46.5%"
Czechia,2021,7710,"20.3%"
Czechia,2022,8255,"7.1%"
Czechia,2023,7781,-5.7%
France,2000,1453,—
France,2001,1658,"14.1%"
France,2002,1924,"16.0%"
France,2003,2537,"31.9%"
France,2004,2597,"2.4%"
France,2005,2672,"2.9%"
France,2006,3083,"15.4%"
France,2007,3219,"4.4%"
France,2008,3347,"4.0%"
France,2009,3593,"7.3%"
France,2010,3822,"6.4%"
France,2011,4193,"9.7%"
France,2012,4300,"2.6%"
France,2013,3643,-15.3%
France,2014,3599,-1.2%
France,2015,3648,"1.4%"
France,2016,3555,-2.5%
France,2017,3691,"3.8%"
France,2018,2945,-20.2%
France,2019,2785,-5.4%
France,2020,2751,-1.2%
France,2021,2752,"0.0%"
France,2022,2685,-2.4%
France,2023,3001,"11.8%"
France,2024,3159,"5.3%"
United Kingdom,2000,1058,—
United Kingdom,2001,1370,"29.5%"
United Kingdom,2002,1461,"6.6%"
United Kingdom,2003,1601,"9.6%"
United Kingdom,2004,1878,"17.3%"
United Kingdom,2005,2027,"7.9%"
United Kingdom,2006,2187,"7.9%"
United Kingdom,2007,2580,"18.0%"
United Kingdom,2008,2646,"2.6%"
United Kingdom,2009,2953,"11.6%"
United Kingdom,2010,3159,"7.0%"
United Kingdom,2011,3303,"4.6%"
United Kingdom,2012,3574,"8.2%"
United Kingdom,2013,3604,"0.8%"
United Kingdom,2014,3933,"9.1%"
United Kingdom,2015,4092,"4.0%"
United Kingdom,2016,3974,-2.9%
United Kingdom,2017,3920,-1.4%
United Kingdom,2018,3752,-4.3%
United Kingdom,2019,3640,-3.0%
United Kingdom,2020,3376,-7.3%
United Kingdom,2021,3357,-0.6%
United Kingdom,2022,3331,-0.8%
United Kingdom,2023,3028,-9.1%
Finland,2000,656,—
Finland,2001,764,"16.5%"
Finland,2002,911,"19.2%"
Finland,2003,1079,"18.4%"
Finland,2004,1140,"5.7%"
Finland,2005,1127,-1.1%
Finland,2007,1182,"4.9%"
Finland,2008,1291,"9.2%"
Finland,2009,1378,"6.7%"
Finland,2010,1595,"15.7%"
Finland,2011,1776,"11.3%"
Finland,2012,2107,"18.6%"
Finland,2013,2206,"4.7%"
Finland,2014,2555,"15.8%"
Finland,2015,2799,"9.5%"
Finland,2016,2799,"0.0%"
Finland,2017,2733,-2.4%
Finland,2018,2344,-14.2%
Finland,2019,2017,-14.0%
Finland,2020,1728,-14.3%
Finland,2021,1996,"15.5%"
Finland,2022,2039,"2.2%"
Finland,2023,2026,-0.6%
Finland,2024,2066,"2.0%"
Kazakhstan,2000,728,—
Kazakhstan,2001,866,"19.0%"
Kazakhstan,2003,1659,"91.6%"
Kazakhstan,2004,2177,"31.2%"
