"Страна","Первый_год","Последний_год","Среднегодовой_темп_роста"
Germany,2013,2024,"1.3%"
Czechia,2000,2023,"20.3%"
France,2000,2024,"3.3%"
United Kingdom,2000,2023,"4.7%"
Finland,2000,2024,"4.9%"
Kazakhstan,2000,2024,"4.6%"
Armenia,2003,2024,"11.3%"
Kyrgyzstan,2001,2024,"5.2%"
Türkiye,2000,2023,"5.0%"
"Korea, Republic of",2000,2024,"12.7%"
Andorra,2002,2024,—
Argentina,2000,2023,—
Aruba,2003,2016,—
Australia,2000,2024,"5.1%"
Austria,2000,2024,"8.9%"
Azerbaijan,2006,2024,"7.4%"
Bahrain,2003,2024,"6.8%"
Barbados,2001,2011,—
Belarus,2002,2024,—
Belgium,2000,2023,"3.0%"
Benin,2014,2022,—
Bosnia and Herzegovina,2013,2023,"18.0%"
Brazil,2002,2024,"13.2%"
Brunei Darussalam,2000,2023,—
Bulgaria,2000,2024,"5.1%"
Canada,2000,2023,"6.8%"
Chile,2000,2024,"5.0%"
Colombia,2014,2022,-13.8%
Congo,2003,2013,—
Costa Rica,2004,2018,"3.7%"
Croatia,2001,2023,"15.3%"
Cuba,2000,2024,-100.0%
Cyprus,2000,2024,"2.6%"
Côte d'Ivoire,2008,2024,—
Denmark,2000,2024,"0.2%"
Dominican Republic,2012,2024,"7.0%"
Ecuador,2012,2023,-1.8%
Egypt,2013,2024,-4.3%
El Salvador,2001,2023,-100.0%
Estonia,2000,2024,"4.1%"
Georgia,2000,2023,—
Ghana,2012,2024,—
Greece,2002,2023,"10.2%"
Grenada,2009,2018,"14.3%"
Guatemala,2019,2023,—
Guyana,2010,2010,—
Honduras,2003,2024,—
Hong Kong,2001,2024,—
Hungary,2001,2024,"5.6%"
Iceland,2000,2023,"6.7%"
India,2000,2023,"3.7%"
Indonesia,2005,2018,—
"Iran, Islamic Republic of",2003,2022,—
Ireland,2000,2022,"7.0%"
Israel,2010,2014,"144.5%"
Italy,2000,2023,"15.2%"
Japan,2013,2023,"5.9%"
Jordan,2000,2024,"2.6%"
"Korea, Democratic People's Republic of",2009,2009,—
Kuwait,2008,2009,-60.0%
Lao People's Democratic Republic,2001,2020,—
Latvia,2000,2024,-1.0%
Liechtenstein,2004,2021,"0.0%"
Lithuania,2000,2024,"9.9%"
Luxembourg,2006,2024,"15.0%"
Macao,2003,2024,—
Malaysia,2000,2024,"8.4%"
Malta,2000,2023,"17.4%"
Mauritius,2004,2022,—
"Moldova, Republic of",2001,2024,"4.7%"
Monaco,2017,2024,—
Mongolia,2000,2024,"5.1%"
Morocco,2003,2024,—
Mozambique,2011,2018,—
Namibia,2002,2022,—
Netherlands,2000,2019,"8.9%"
New Zealand,2000,2024,"11.6%"
Nicaragua,2023,2023,—
North Macedonia,2000,2023,—
Norway,2000,2024,-1.4%
Oman,2007,2024,—
Panama,2019,2022,"44.2%"
Philippines,2001,2024,"13.1%"
Poland,2000,2024,"6.2%"
Portugal,2000,2023,"14.2%"
Qatar,2002,2024,"12.4%"
Romania,2000,2023,"3.7%"
Rwanda,2012,2024,-100.0%
Saudi Arabia,2003,2024,"8.0%"
Senegal,2023,2024,—
Serbia,2007,2024,"23.1%"
Sint Maarten (Dutch part),2012,2017,-100.0%
Slovakia,2000,2024,"17.2%"
Slovenia,2000,2023,"16.8%"
South Africa,2008,2023,—
Spain,2000,2024,"9.4%"
Sri Lanka,2013,2023,—
Sweden,2000,2024,-1.7%
Switzerland,2000,2024,"5.0%"
Tajikistan,2000,2017,-2.2%
"Tanzania, United Republic of",2001,2024,-12.9%
Thailand,2001,2024,"11.3%"
Trinidad and Tobago,2000,2023,—
Tunisia,2000,2023,—
Turkmenistan,2014,2021,"0.0%"
Ukraine,2005,2024,-8.7%
United Arab Emirates,2011,2012,-13.6%
United States,2005,2023,-0.9%
Uzbekistan,2006,2024,"23.8%"
Viet Nam,2000,2022,"5.3%"
