"Страна","Регион","Первый_год","Последний_год","Первое_значение","Последнее_значение","Число_лет","Прирост","cagr_2013_2024"
Czechia,Europe,2013,2023,3455,7781,10,4326,"8.5%"
Türkiye,Asia,2013,2023,60,3083,10,3023,"48.3%"
Armenia,Asia,2013,2024,903,2761,11,1858,"10.7%"
Kyrgyzstan,Asia,2013,2024,927,2623,11,1696,"9.9%"
Germany,Europe,2013,2024,9480,10974,11,1494,"1.3%"
Austria,Europe,2013,2024,1004,2345,11,1341,"8.0%"
Slovakia,Europe,2013,2024,63,1253,11,1190,"31.2%"
"Korea, Republic of",Asia,2013,2024,314,1351,11,1037,"14.2%"
Italy,Europe,2013,2023,2103,3047,10,944,"3.8%"
Kazakhstan,Asia,2013,2024,1315,2123,11,808,"4.5%"
Uzbekistan,Asia,2013,2024,108,750,11,642,"19.3%"
Poland,Europe,2013,2024,585,1118,11,533,"6.1%"
Hungary,Europe,2013,2024,199,726,11,527,"12.5%"
Switzerland,Europe,2013,2024,594,1048,11,454,"5.3%"
Azerbaijan,Asia,2013,2024,232,618,11,386,"9.3%"
Slovenia,Europe,2013,2023,38,356,10,318,"25.1%"
Serbia,Europe,2013,2024,24,342,11,318,"27.3%"
Cyprus,Asia,2013,2024,134,433,11,299,"11.3%"
Georgia,Asia,2013,2023,167,460,10,293,"10.7%"
Japan,Asia,2013,2023,332,591,10,259,"5.9%"
Lithuania,Europe,2013,2024,236,393,11,157,"4.7%"
Estonia,Europe,2013,2024,168,313,11,145,"5.8%"
Portugal,Europe,2013,2023,106,211,10,105,"7.1%"
Canada,North America,2013,2023,1140,1242,10,102,"0.9%"
Ireland,Europe,2013,2022,59,145,9,86,"10.5%"
Saudi Arabia,Asia,2013,2024,520,604,11,84,"1.4%"
"Iran, Islamic Republic of",Asia,2013,2022,12,93,9,81,"25.5%"
Thailand,Asia,2015,2024,105,177,9,72,"6.0%"
Spain,Europe,2013,2024,733,798,11,65,"0.8%"
Hong Kong,Asia,2013,2024,21,77,11,56,"12.5%"
Malaysia,Asia,2014,2024,168,220,10,52,"2.7%"
Luxembourg,Europe,2013,2024,36,87,11,51,"8.4%"
Romania,Europe,2013,2023,25,58,10,33,"8.8%"
Mongolia,Asia,2013,2024,287,310,11,23,"0.7%"
"Moldova, Republic of",Europe,2013,2024,103,125,11,22,"1.8%"
Croatia,Europe,2013,2023,1,23,10,22,"36.8%"
Qatar,Asia,2013,2024,5,26,11,21,"16.2%"
Bosnia and Herzegovina,Europe,2013,2023,4,21,10,17,"18.0%"
Iceland,Europe,2013,2023,27,44,10,17,"5.0%"
Jordan,Asia,2015,2024,55,72,9,17,"3.0%"
Chile,Latin America,2013,2024,1,16,11,15,"28.7%"
Brazil,Latin America,2014,2024,47,61,10,14,"2.6%"
Belgium,Europe,2013,2023,273,284,10,11,"0.4%"
Bulgaria,Europe,2013,2024,255,264,11,9,"0.3%"
Ecuador,Latin America,2014,2023,11,18,9,7,"5.6%"
Dominican Republic,Latin America,2014,2024,3,9,10,6,"11.6%"
Morocco,Africa,2013,2024,2,8,11,6,"13.4%"
Malta,Europe,2013,2023,34,40,10,6,"1.6%"
Viet Nam,Asia,2013,2022,17,22,9,5,"2.9%"
Andorra,Europe,2013,2024,0,4,11,4,
Bahrain,Asia,2014,2024,1,4,10,3,"14.9%"
Oman,Asia,2013,2024,1,3,11,2,"10.5%"
Honduras,Latin America,2014,2024,0,0,10,0,
Sri Lanka,Asia,2013,2023,0,0,10,0,
Mauritius,Africa,2013,2022,2,2,9,0,"0.0%"
Ghana,Africa,2013,2024,0,0,11,0,
Benin,Africa,2014,2022,0,0,8,0,
El Salvador,Latin America,2013,2023,0,0,10,0,
Rwanda,Africa,2013,2024,0,0,11,0,
Côte d'Ivoire,Africa,2014,2024,0,0,10,0,
Cuba,Latin America,2013,2024,1,0,11,-1,
North Macedonia,Europe,2013,2023,1,0,10,-1,
Namibia,Africa,2013,2022,1,0,9,-1,
Macao,Asia,2013,2024,7,5,11,-2,-3.0%
Brunei Darussalam,Asia,2014,2023,2,0,9,-2,
Tunisia,Africa,2013,2023,7,1,10,-6,-17.7%
India,Asia,2013,2023,32,23,10,-9,-3.2%
Colombia,Latin America,2014,2022,23,7,8,-16,-13.8%
South Africa,Africa,2013,2023,30,9,10,-21,-11.3%
New Zealand,Oceania,2013,2024,325,280,11,-45,-1.3%
Latvia,Europe,2013,2024,387,334,11,-53,-1.3%
Denmark,Europe,2013,2024,187,118,11,-69,-4.1%
Egypt,Africa,2013,2024,231,143,11,-88,-4.3%
Sweden,Europe,2013,2024,420,307,11,-113,-2.8%
Finland,Europe,2013,2024,2206,2066,11,-140,-0.6%
United States,North America,2013,2023,4688,4543,10,-145,-0.3%
Belarus,Europe,2013,2024,2061,1901,11,-160,-0.7%
Australia,Oceania,2013,2024,968,683,11,-285,-3.1%
Norway,Europe,2013,2024,624,242,11,-382,-8.3%
France,Europe,2013,2024,3643,3159,11,-484,-1.3%
United Kingdom,Europe,2013,2023,3604,3028,10,-576,-1.7%
Ukraine,Europe,2013,2024,2878,651,11,-2227,-12.6%
