"Страна","Число_студентов_начало_периода","Доля_страны"
France,1453,"15.6%"
United Kingdom,1058,"11.4%"
Türkiye,1004,"10.8%"
Kazakhstan,728,"7.8%"
Finland,656,"7.1%"
Sweden,462,"5.0%"
Latvia,430,"4.6%"
Norway,339,"3.7%"
Switzerland,327,"3.5%"
Austria,300,"3.2%"
Canada,273,"2.9%"
Poland,262,"2.8%"
Cyprus,233,"2.5%"
Australia,207,"2.2%"
Netherlands,175,"1.9%"
Tajikistan,161,"1.7%"
Belgium,143,"1.5%"
Estonia,119,"1.3%"
Italy,118,"1.3%"
Denmark,113,"1.2%"
Czechia,110,"1.2%"
Mongolia,94,"1.0%"
Spain,93,"1.0%"
Bulgaria,80,"0.9%"
"Korea, Republic of",77,"0.8%"
Jordan,39,"0.4%"
Lithuania,41,"0.4%"
Ireland,33,"0.4%"
Slovakia,28,"0.3%"
Malaysia,32,"0.3%"
Romania,25,"0.3%"
New Zealand,20,"0.2%"
Chile,5,"0.1%"
Viet Nam,7,"0.1%"
Portugal,10,"0.1%"
Slovenia,10,"0.1%"
Iceland,10,"0.1%"
India,10,"0.1%"
North Macedonia,0,"0.0%"
Brunei Darussalam,0,"0.0%"
Cuba,1,"0.0%"
Georgia,0,"0.0%"
Argentina,0,"0.0%"
Malta,1,"0.0%"
Trinidad and Tobago,0,"0.0%"
Tunisia,0,"0.0%"
