"Страна","Число_студентов_конец_периода","Доля_страны"
Germany,10974,"26.1%"
France,3159,"7.5%"
Armenia,2761,"6.6%"
Kyrgyzstan,2623,"6.2%"
Austria,2345,"5.6%"
Kazakhstan,2123,"5.1%"
Finland,2066,"4.9%"
Belarus,1901,"4.5%"
"Korea, Republic of",1351,"3.2%"
Slovakia,1253,"3.0%"
Poland,1118,"2.7%"
Switzerland,1048,"2.5%"
Spain,798,"1.9%"
Uzbekistan,750,"1.8%"
Hungary,726,"1.7%"
Australia,683,"1.6%"
Ukraine,651,"1.6%"
Azerbaijan,618,"1.5%"
Saudi Arabia,604,"1.4%"
Cyprus,433,"1.0%"
Lithuania,393,"0.9%"
Serbia,342,"0.8%"
Latvia,334,"0.8%"
Sweden,307,"0.7%"
Mongolia,310,"0.7%"
Estonia,313,"0.7%"
New Zealand,280,"0.7%"
Norway,242,"0.6%"
Bulgaria,264,"0.6%"
Malaysia,220,"0.5%"
Thailand,177,"0.4%"
Denmark,118,"0.3%"
"Moldova, Republic of",125,"0.3%"
Egypt,143,"0.3%"
Hong Kong,77,"0.2%"
Jordan,72,"0.2%"
Luxembourg,87,"0.2%"
Brazil,61,"0.1%"
Philippines,34,"0.1%"
Qatar,26,"0.1%"
Cuba,0,"0.0%"
Oman,3,"0.0%"
Côte d'Ivoire,0,"0.0%"
Rwanda,0,"0.0%"
Chile,16,"0.0%"
Senegal,2,"0.0%"
Andorra,4,"0.0%"
Dominican Republic,9,"0.0%"
Honduras,0,"0.0%"
"Tanzania, United Republic of",3,"0.0%"
Bahrain,4,"0.0%"
Monaco,13,"0.0%"
Ghana,0,"0.0%"
Morocco,8,"0.0%"
Macao,5,"0.0%"
