"Страна","Число_наблюдений","Среднее_число_студентов","Станд_отклонение","Коэффициент_вариации","Всего_студентов","Среднегодовой_темп_роста","Ранг_за_период"
Germany,12,10314,730.6,0.07,123770,"1.3%",1
Czechia,24,3329,2742.1,0.82,79907,"20.3%",2
France,25,3064,716.6,0.23,76612,"3.3%",3
United Kingdom,24,2909,926.6,0.32,69804,"4.7%",4
United States,10,4930,285.2,0.06,49296,-0.9%,5
Ukraine,19,2484,1566.7,0.63,47199,-8.7%,6
Finland,24,1763,648.4,0.37,42314,"4.9%",7
Kazakhstan,21,1858,811.3,0.44,39012,"4.6%",8
Belarus,23,1533,980.2,0.64,35264,—,9
Italy,24,1400,845.3,0.60,33592,"15.2%",10
Armenia,22,1230,551.4,0.45,27064,"11.3%",11
Kyrgyzstan,24,1092,682.3,0.62,26205,"5.2%",12
Austria,24,1014,591.8,0.58,24333,"8.9%",13
Türkiye,24,1002,619.2,0.62,24055,"5.0%",14
Canada,24,911,548.1,0.60,21875,"6.8%",15
Switzerland,25,770,232.2,0.30,19255,"5.0%",16
Poland,25,712,372.4,0.52,17799,"6.2%",17
Australia,24,674,200.9,0.30,16164,"5.1%",18
Norway,25,567,261.6,0.46,14169,-1.4%,19
Spain,23,462,273.4,0.59,10616,"9.4%",20
Latvia,24,415,97.0,0.23,9953,-1.0%,21
"Korea, Republic of",25,393,295.1,0.75,9831,"12.7%",22
Netherlands,20,449,291.6,0.65,8974,"8.9%",23
Sweden,25,347,169.9,0.49,8676,-1.7%,24
Hungary,24,292,179.5,0.61,7007,"5.6%",25
Saudi Arabia,21,333,215.8,0.65,6995,"8.0%",26
Mongolia,22,296,156.4,0.53,6512,"5.1%",27
Azerbaijan,19,337,155.4,0.46,6396,"7.4%",28
Greece,17,370,174.3,0.47,6284,"10.2%",29
New Zealand,24,241,110.3,0.46,5781,"11.6%",30
Bulgaria,24,218,92.1,0.42,5224,"5.1%",31
Estonia,25,208,157.5,0.76,5193,"4.1%",32
Slovakia,25,203,327.4,1.61,5072,"17.2%",33
Cyprus,25,201,66.1,0.33,5030,"2.6%",34
Japan,11,449,83.5,0.19,4943,"5.9%",35
Belgium,24,200,99.0,0.49,4811,"3.0%",36
Tajikistan,18,228,328.1,1.44,4102,-2.2%,37
Uzbekistan,18,211,228.2,1.08,3790,"23.8%",38
Georgia,23,155,147.6,0.95,3561,—,39
Lithuania,25,134,116.7,0.87,3343,"9.9%",40
Denmark,25,130,57.4,0.44,3245,"0.2%",41
"Moldova, Republic of",24,95,46.3,0.49,2279,"4.7%",42
Portugal,23,83,44.7,0.54,1908,"14.2%",43
Ireland,23,82,29.0,0.36,1879,"7.0%",44
Slovenia,24,74,92.8,1.25,1778,"16.8%",45
Israel,5,340,429.7,1.26,1700,"144.5%",46
Serbia,18,92,84.2,0.91,1661,"23.1%",47
Malaysia,22,73,58.5,0.80,1604,"8.4%",48
Argentina,9,125,51.3,0.41,1125,—,49
Jordan,21,52,28.7,0.55,1097,"2.6%",50
Thailand,17,62,50.5,0.81,1055,"11.3%",51
Egypt,5,202,34.1,0.17,1011,-4.3%,52
Luxembourg,16,46,22.7,0.49,738,"15.0%",53
Malta,22,33,13.3,0.40,723,"17.4%",54
Brazil,18,37,17.7,0.47,673,"13.2%",55
United Arab Emirates,2,309,31.8,0.10,617,-13.6%,56
Iceland,22,28,12.0,0.43,612,"6.7%",57
Hong Kong,24,25,26.6,1.06,605,—,58
Romania,23,23,13.6,0.60,525,"3.7%",59
India,20,23,12.6,0.56,451,"3.7%",60
South Africa,14,25,14.4,0.57,355,—,61
"Iran, Islamic Republic of",20,17,25.7,1.50,342,—,62
Croatia,22,11,13.0,1.22,234,"15.3%",63
Qatar,21,8,7.2,0.88,172,"12.4%",64
Chile,21,7,4.5,0.61,155,"5.0%",65
"Tanzania, United Republic of",6,25,29.0,1.15,151,-12.9%,66
Viet Nam,19,8,6.7,0.87,147,"5.3%",67
Ecuador,9,14,8.3,0.61,123,-1.8%,68
Morocco,20,6,4.6,0.84,110,—,69
Colombia,9,12,6.3,0.53,107,-13.8%,70
Bosnia and Herzegovina,11,8,5.0,0.66,83,"18.0%",71
Macao,22,3,2.9,0.85,75,—,72
Dominican Republic,10,6,2.4,0.38,63,"7.0%",73
Monaco,6,10,4.8,0.51,57,—,74
Liechtenstein,16,3,2.2,0.74,48,"0.0%",75
Indonesia,8,5,5.8,1.07,43,—,76
Philippines,8,5,11.6,2.16,43,"13.1%",76
Bahrain,14,3,1.6,0.62,37,"6.8%",78
Grenada,5,7,3.2,0.49,33,"14.3%",79
Oman,16,1,1.6,1.14,23,—,80
Costa Rica,4,5,3.3,0.63,21,"3.7%",81
"Korea, Democratic People's Republic of",1,20,,,20,—,82
Panama,4,4,1.7,0.40,17,"44.2%",83
North Macedonia,22,1,1.2,1.65,16,—,84
Andorra,11,1,1.4,1.00,15,—,85
